Tail Number,System,Sub-System,Registration Time,Closing Time,Validated?,Register Profession,Closer Profession
820,11,G,01/01/2019 9:13,01/01/2019 15:28,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
832,11,G,01/01/2019 11:01,17/04/2019 16:49,TRUE,Class A Tech,Class A Heli Struct Sys Tech
828,11,E,01/01/2019 11:56,20/01/2019 11:51,TRUE,Class A Airborne Mechanic,Class B Structurer Tech
837,74,P,01/01/2019 12:16,01/01/2019 15:59,FALSE,Pilot,Class A Officer
837,12,A,01/01/2019 12:16,01/01/2019 15:59,TRUE,Pilot,Class A Officer
845,71,H,01/01/2019 13:56,01/01/2019 20:46,TRUE,Pilot,Class B Avionics Tech
845,75,J,01/01/2019 13:56,01/01/2019 20:50,TRUE,Pilot,Class A Armament Tech
804,15,A,01/01/2019 13:59,08/01/2019 15:24,TRUE,Class B Mechanic,Class B Mechanic
820,26,G,01/01/2019 15:22,01/01/2019 16:49,TRUE,Class A Electricity Tech,Class A Heli Struct Sys Tech
820,75,C,01/01/2019 15:29,01/01/2019 15:30,TRUE,Class B Structurer Tech,Class B Structurer Tech
837,22,P,01/01/2019 17:11,01/01/2019 19:30,FALSE,Pilot,Class B Engine Tech
905,75,J,01/01/2019 20:12,02/01/2019 11:30,FALSE,Class A Officer,Class A Armament Tech
905,22,0,01/01/2019 20:15,01/01/2019 22:44,TRUE,Class A Officer,Class B Engine Tech
820,15,W,01/01/2019 20:33,01/01/2019 23:26,TRUE,Class A Electricity Tech,Class A Airborne Mechanic
806,75,B,01/01/2019 20:56,02/01/2019 20:14,TRUE,Pilot,Class A Armament Tech
806,76,A,01/01/2019 20:56,02/01/2019 14:57,TRUE,Pilot,Class B Avionics Tech
812,69,A,01/01/2019 20:56,02/01/2019 11:26,TRUE,Pilot,Class A Armament Tech
935,76,F,01/01/2019 20:56,02/01/2019 14:57,TRUE,Pilot,Class B Avionics Tech
935,71,W,01/01/2019 20:56,03/01/2019 11:56,TRUE,Pilot,Class B Avionics Tech
935,71,H,01/01/2019 20:56,02/01/2019 16:31,FALSE,Pilot,Class B Avionics Tech
820,11,B,01/01/2019 22:26,02/01/2019 9:56,TRUE,Class A Electricity Tech,Class A Officer
806,15,A,01/01/2019 23:22,02/01/2019 17:08,TRUE,Class A Officer,Class B Mechanic
830,74,E,02/01/2019 10:18,02/01/2019 10:19,TRUE,Class B Avionics Tech,Class B Avionics Tech
801,26,W,02/01/2019 10:34,06/01/2019 9:41,TRUE,Class A Officer,Class A Armament Tech
801,75,C,02/01/2019 10:57,02/01/2019 11:13,TRUE,Class A Armament Tech,Class A Armament Tech
905,75,B,02/01/2019 11:41,02/01/2019 11:42,TRUE,Class A Tech,Class A Tech
812,90,A,02/01/2019 14:39,06/01/2019 9:27,FALSE,Class A Electricity Tech,Class A Officer
956,44,C,02/01/2019 14:51,03/01/2019 9:49,TRUE,Pilot,Class A Electricity Tech
837,44,C,02/01/2019 15:50,02/01/2019 15:52,TRUE,Class A Electricity Tech,Class A Electricity Tech
966,15,A,02/01/2019 16:10,03/01/2019 16:05,TRUE,Class B Mechanic,Class B Mechanic
832,44,C,02/01/2019 16:19,24/03/2019 14:25,TRUE,Class A Electricity Tech,Class A Electricity Tech
905,44,B,02/01/2019 16:32,02/01/2019 16:40,TRUE,Class A Electricity Tech,Class A Electricity Tech
837,24,A,02/01/2019 17:06,02/01/2019 20:05,FALSE,Pilot,Class B Engine Tech
820,76,D,03/01/2019 9:36,03/01/2019 11:39,TRUE,Pilot,Class A Officer
820,74,5,03/01/2019 9:36,03/01/2019 11:26,TRUE,Pilot,Class B Avionics Tech
820,71,H,03/01/2019 9:36,03/01/2019 11:38,TRUE,Pilot,Class A Officer
845,12,C,03/01/2019 10:21,06/01/2019 22:03,TRUE,Pilot,Class A Officer
828,12,A,03/01/2019 11:13,03/01/2019 11:14,TRUE,Class B Structurer Tech,Class B Structurer Tech
801,24,V,03/01/2019 11:17,03/01/2019 14:06,TRUE,Class A Electricity Tech,Class B Engine Tech
837,46,A,03/01/2019 11:52,03/01/2019 12:07,TRUE,Pilot,Class A Electricity Tech
801,16,W,03/01/2019 13:14,03/01/2019 13:15,TRUE,Class A Electricity Tech,Class A Electricity Tech
801,45,A,03/01/2019 14:26,06/01/2019 15:39,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
801,44,A,03/01/2019 14:27,03/01/2019 14:29,TRUE,Class A Electricity Tech,Class A Electricity Tech
801,44,A,03/01/2019 14:27,03/01/2019 14:31,TRUE,Class A Electricity Tech,Class A Electricity Tech
832,75,A,03/01/2019 15:26,10/04/2019 12:18,TRUE,Class A Tech,Class A Armament Tech
837,0,0,03/01/2019 15:33,06/01/2019 14:37,TRUE,Pilot,Class A Heli Struct Sys Tech
832,11,E,03/01/2019 15:41,09/04/2019 12:51,TRUE,Class A Tech,Class A Heli Struct Sys Tech
806,12,A,03/01/2019 16:46,03/01/2019 21:06,TRUE,Pilot,Class A Officer
820,74,5,03/01/2019 16:57,03/01/2019 16:58,TRUE,Class B Avionics Tech,Class B Avionics Tech
966,16,A,04/01/2019 10:40,04/01/2019 10:47,TRUE,Class A Electricity Tech,Class A Electricity Tech
921,90,A,06/01/2019 14:31,06/01/2019 19:27,FALSE,Class A Electricity Tech,Class A Officer
938,75,B,06/01/2019 14:48,06/01/2019 15:28,TRUE,Class A Armament Tech,Class A Tech
966,46,E,06/01/2019 15:00,06/01/2019 15:37,TRUE,Class A Electricity Tech,Class A Electricity Tech
961,11,E,06/01/2019 15:34,06/01/2019 18:56,TRUE,Class A Armament Tech,Class B Structurer Tech
938,15,B,06/01/2019 15:52,06/01/2019 15:55,FALSE,Class A Tech,Class A Tech
812,15,B,06/01/2019 15:56,06/01/2019 18:05,TRUE,Class A Tech,Class A Tech
812,42,B,06/01/2019 19:34,06/01/2019 19:43,TRUE,Class A Electricity Tech,Class A Electricity Tech
966,13,D,06/01/2019 19:55,06/01/2019 20:02,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
837,46,A,06/01/2019 21:54,09/01/2019 12:56,FALSE,Class A Heli Struct Sys Tech,Class A Officer
845,75,B,06/01/2019 22:34,06/01/2019 22:45,TRUE,Class A Tech,Class A Armament Tech
820,62,C,07/01/2019 7:41,07/01/2019 15:11,FALSE,Pilot,Class B Avionics Tech
905,44,C,07/01/2019 10:44,07/01/2019 10:47,TRUE,Class A Electricity Tech,Class A Electricity Tech
845,45,B,07/01/2019 10:51,07/01/2019 14:13,TRUE,Pilot,Class A Heli Struct Sys Tech
806,62,E,07/01/2019 13:01,07/01/2019 15:10,TRUE,Pilot,Class B Avionics Tech
801,74,W,07/01/2019 13:06,08/01/2019 15:25,TRUE,Pilot,Class B Avionics Tech
956,71,H,07/01/2019 13:26,07/01/2019 21:16,FALSE,Pilot,Class B Avionics Tech
812,12,C,07/01/2019 13:31,07/01/2019 14:11,TRUE,Pilot,Class A Officer
938,76,W,07/01/2019 13:36,07/01/2019 14:13,TRUE,Pilot,Class A Officer
921,62,E,07/01/2019 13:46,07/01/2019 13:47,TRUE,Class B Avionics Tech,Class B Avionics Tech
921,62,E,07/01/2019 13:46,07/01/2019 15:13,TRUE,Class B Avionics Tech,Class B Avionics Tech
,62,E,07/01/2019 13:46,07/01/2019 15:13,TRUE,Class B Avionics Tech,Class B Avionics Tech
801,74,5,07/01/2019 18:08,07/01/2019 21:31,TRUE,Class B Avionics Tech,Class A Electricity Tech
815,75,K,07/01/2019 19:07,08/01/2019 13:12,TRUE,Pilot,Class A Armament Tech
967,14,H,07/01/2019 20:06,08/01/2019 19:31,FALSE,Pilot,Class B Flight Control Tech
938,51,C,07/01/2019 20:36,08/01/2019 8:53,TRUE,Pilot,Class A Electricity Tech
905,44,A,07/01/2019 20:49,07/01/2019 20:50,TRUE,Class A Electricity Tech,Class A Electricity Tech
966,76,A,07/01/2019 21:01,08/01/2019 14:56,TRUE,Pilot,Class B Avionics Tech
966,12,C,07/01/2019 21:01,08/01/2019 13:26,TRUE,Pilot,Class A Heli Struct Sys Tech
820,76,A,07/01/2019 21:01,08/01/2019 11:14,TRUE,Pilot,Class B Avionics Tech
961,11,E,07/01/2019 22:26,09/01/2019 9:16,TRUE,Class A Tech,Class A Heli Struct Sys Tech
961,11,G,07/01/2019 22:29,13/01/2019 20:52,TRUE,Class A Tech,Class A Heli Struct Sys Tech
812,49,E,08/01/2019 10:06,09/01/2019 10:42,TRUE,Class A Electricity Tech,Class A Armament Tech
938,76,D,08/01/2019 11:39,08/01/2019 11:40,TRUE,Class B Avionics Tech,Class B Avionics Tech
837,46,E,08/01/2019 12:00,08/01/2019 14:30,TRUE,Class A Electricity Tech,Class A Electricity Tech
830,11,G,08/01/2019 15:02,09/01/2019 19:49,TRUE,Class A Heli Struct Sys Tech,Class A Heli Struct Sys Tech
830,11,J,08/01/2019 15:23,08/01/2019 15:41,TRUE,Class A Heli Struct Sys Tech,Class B Structurer Tech
806,44,C,08/01/2019 16:06,08/01/2019 16:10,TRUE,Class A Electricity Tech,Class A Electricity Tech
967,75,B,08/01/2019 17:33,08/01/2019 17:43,TRUE,Class A Tech,Class A Tech
